	0.52	0.48
2e86de11-a2dd-4b28-b5fe-f4d0c38cd20b	0.32	0.68
63df8701-1871-4987-87d7-b55d4f1df2e9	0.32	0.68
f38c5d80-093f-46eb-99d6-942aa45cd921	0.39	0.61
f73009c5-2ede-4dc4-b96d-84ba93c8a429	0.43	0.57
ab9eb213-0917-4374-a259-458295045021	0.43	0.57
1301ee81-406e-43d9-b2bb-55ca6e0f7765	0.61	0.39
e4034192-4dc6-4901-bb30-07fe3cf77b5e	0.71	0.29
5b9727f7-6a20-47d2-93d9-779f0a85c4ee	0.79	0.21
81a0889a-4606-4f49-b419-866b57331383	0.82	0.18
ef9f8b95-9e73-49cd-be54-60f84858a285	0.41	0.59
ecb8d2f5-4ff5-4890-9693-5654e00055f6	0.52	0.48
667cb445-c288-4e62-b603-27291c1e475d	0.76	0.24
75f9d874-5e69-438d-900d-a3fcb1d429b3	0.23	0.77
d89da2d2-674c-4b85-8959-a4bd406f760a	0.37	0.63
aa6c2662-75f8-4506-aa06-9a0993313216	0.50	0.50
15ae64cd-f698-4b00-9d61-c9fffd037ae2	0.60	0.40
2b9f9c25-43ec-4f0b-9937-a5aa23be0d9e	0.63	0.37
1ba715f2-caa3-44c0-9118-b045ea702a34	0.80	0.20
27c68d7f-5e40-4afa-8b6f-9df47b79e7dd	0.23	0.77
a1ed3396-114a-40bc-9ff0-54d7e1ad1718	0.35	0.65
bd8778e5-02e8-4d1f-9c31-7b63942cc570	0.35	0.65
fa477c92-39b6-4a52-b065-40af2f29840a	0.35	0.65
86d4e22b-f107-4bcf-9625-32d387fcb521	0.39	0.61
64b055d1-b691-4e0c-8583-fc08ba663846	0.48	0.52
f0bcf4bb-74b3-412e-a54c-04c12ad28ecb	0.68	0.32
d744f534-2352-472b-9e42-cd91fa540f1b	0.77	0.23
4204c2d1-ca48-4af7-b827-e99907f12d61	0.77	0.23
7e9a514a-7850-4ed0-93ab-f3a6e2f41c03	0.38	0.63
8a6fc67d-a7fe-443b-a084-744294cec647	0.47	0.53
defbc540-a36d-460b-afd8-07da2375ee63	0.59	0.41
b3d518b9-dc68-4902-b68c-0022ceb25aa0	0.59	0.41
c22e3af5-9001-465f-b450-864d7db2b4a0	0.63	0.38
c0177f76-67fc-4316-b650-894159dede45	0.72	0.28
1068f44b-34a0-42d8-a92e-2be748681a6f	0.81	0.19
4b3e8e9b-6de1-4840-8751-b1fb45dc5605	0.24	0.76
1f159bab-923a-4811-b6fa-02bfde50925a	0.24	0.76
66cebbbf-9933-4329-924a-72bd3718f321	0.33	0.67
03b80a57-77ea-4913-9be4-7a85c3594745	0.45	0.55
5a26fc61-d75d-4c01-9ce2-1880ffb5550f	0.48	0.52
c73d59dd-32a0-49ce-8ab4-b2dbb7dc94ec	0.48	0.52
503a235f-9fa6-41b5-8514-9475c944273f	0.58	0.42
8cf78b49-d0ca-4703-88e8-4bcad26c44b1	0.73	0.27
d74a2473-1f29-40fa-a41e-66fa2281dfca	0.73	0.27
c17a4397-4dcc-440e-8c53-d897e971cae9	0.85	0.15
bd24e18b-800d-4f15-878d-e334fb4803c4	0.29	0.71
80de2b05-e0d4-4d33-9297-9951b2b5c950	0.29	0.71
e111a46d-5ada-4311-ac4f-175cca3357da	0.47	0.53
11de4da3-8208-43ff-a1ff-0b3480a0fbf1	0.59	0.41
4ecee7be-93e4-4f04-b114-6b333e0e6408	0.62	0.38
e4f1f358-ee1f-4466-863e-f329766279d0	0.68	0.32
425f3f84-bab0-4cf2-91c1-96e78cf5cd02	0.40	0.60
4bf352d2-6a57-420a-9d45-b23b2b947375	0.46	0.54
855775c1-266f-40f6-b07b-3a67ccdf8551	0.46	0.54
82d1b7b4-ce00-4536-8631-a025f05150ce	0.51	0.49
8b53ce82-4b1a-48f0-999d-1774b3719202	0.69	0.31
f2468055-e880-40bf-8ac6-a0763d846eb2	0.74	0.26
d8ee256f-e3d0-46cb-8c77-b1f88d8c9df9	0.28	0.72
5ff66eae-7111-4e3b-a9b8-a9579165b0a5	0.53	0.47
4f328502-d347-4d2c-8fad-6ae59431d781	0.53	0.47
495a6bdc-174d-4ad6-8d51-9ee88b1c2e4a	0.19	0.81
4ffd2e50-bb5b-45d0-b7c4-e24d41b2ff5d	0.19	0.81
e4e4c17d-8128-4704-9e04-f244d4573c4d	0.30	0.70
63512571-2eca-4bc4-8ad9-a5308a22ae22	0.32	0.68
285ce77d-e5cd-4daa-9784-801347140d48	0.46	0.54
da0bbbe6-d13c-40cc-9594-8c476975d93d	0.65	0.35
f967d064-0eaf-4445-b225-daed700e044b	0.68	0.32
1e8b09bd-fbdd-444e-bd7e-10326bd57156	0.81	0.19
d4a10c2a-0c28-466a-9213-38ba3339b65e	0.58	0.42
bbf9543f-f100-445a-a467-81d7aab12236	0.36	0.64
32c9bce6-6e52-40fa-9f64-3629b3d026a8	0.64	0.36
17397256-c28c-4cad-85f2-a21768c66e67	0.25	0.75
ad8d15f4-e041-4a12-a10e-901e6285fdc5	0.28	0.73
33fbfe23-37bd-4e37-a481-a87eadb8192d	0.33	0.68
083d09d4-7ed3-4100-b021-8fbe30dd43e8	0.35	0.65
20e13b56-599b-4a22-b752-8059effc81dc	0.75	0.25
678170e4-0688-436d-a02d-c0467f9af8c0	0.78	0.23
b4505c48-fc75-4f9e-8419-42b28dcc5273	0.29	0.71
9c3273a0-2711-4958-b716-bfcf60857013	0.39	0.61
f56657d3-3bdc-4840-a20c-91aca9cc360e	0.71	0.29
80dff591-2393-448a-8d88-122bd424fa4c	0.73	0.27
2e6d4fa9-f930-47bd-971a-dd54a3cf7db1	0.38	0.62
25f3a67c-4ed5-45b6-94b1-ce468d3ead21	0.40	0.60
8604e861-d784-43f0-b0f8-0d43ea6f7814	0.48	0.52
ee55248b-318a-4bfb-8894-1cc70e4e0720	0.57	0.43
90c2cec7-0ed5-426a-9de8-754f34d59b39	0.60	0.40
718dea1a-d9a8-4c2b-933a-f0667b5250e6	0.53	0.47
1f145436-b25d-49b9-a1e3-2d3c91626211	0.53	0.47
44c92d97-bb39-469d-a13b-f2dd9ae644d1	0.67	0.33
a311c089-0df4-46bd-9f5d-8c45c7eb5ae2	0.70	0.30
68f98a04-204f-4675-92a7-8823f2277075	0.82	0.16
7a75d626-d4fd-474f-a862-473138d8c376	0.84	0.16
126fb128-7c53-45b5-ac2b-5dbf9943d71b	0.88	0.12
90c6e6ca-77fc-42b7-94d8-d8afd6d299e5	0.27	0.73
51c5473a-7545-4a9a-920d-d9b718d0e8d1	0.36	0.64
64f4cd75-0c1e-42cf-9ff0-e41c4756f22a	0.59	0.41
90768354-957e-4b4c-bb6d-eab6bbda0ba3	0.64	0.36
cbd19e6f-3d08-4734-b23f-585330028665	0.66	0.34
c83f0fe0-44d1-4342-81e8-944bb38f8e23	0.36	0.64
bd4c6837-eeaa-4675-ae48-061efa0fd11a	0.47	0.53
4e6ad1a1-7c71-49de-8bd5-c286712faf9e	0.49	0.51
e6114fd4-a11d-4f6c-b823-65691bb2d288	0.56	0.44
0f61d948-4f0c-4550-8410-ae1c7f9f5613	0.56	0.44
efafe75e-2f00-4418-914c-9b6675d39264	0.60	0.40
14d88771-7a96-48aa-ba59-07bae1733e96	0.62	0.38
0eddd056-9d72-4804-bd60-53144b785d5c	0.70	0.28
413b3ddb-d933-4567-a60e-6d157480239d	0.71	0.29
69196296-f652-42ff-b2ca-0d9b50bd9b7b	0.37	0.63
17392be2-7344-48a0-b4db-8a040a7fb532	0.41	0.59
248ccf3d-d5f6-4b69-83d9-40230ca909cd	0.46	0.54
cd417f8a-ce01-4ab2-921d-42e2e445bbe2	0.46	0.54
493a83de-6bcf-41a1-97dd-cc5e150548a3	0.67	0.33
58c9e294-bd49-457c-883f-fb3162fc668e	0.74	0.26
9be56060-3b01-47aa-a090-d072ef109fbf	0.25	0.75
4ca52626-58cd-449d-88bb-f6d631588640	0.29	0.71
b1b141fc-e867-40d1-842a-cea30a97ca4f	0.37	0.63
bf6a24d1-4e89-4790-a4ba-eeb2870cbf6f	0.71	0.29
53e701c7-e3c8-4e18-ba05-9b41b4b64cda	0.42	0.58
70ccff1e-6b53-40e2-8844-0a28621cb33e	0.62	0.38
2f3d7bc7-6ffb-40c3-a94f-5e626be413c9	0.64	0.36
d47dd08e-833c-4302-a965-a391d345455c	0.74	0.26
26cfccf2-850e-43eb-b085-ff73ad0749b8	0.59	0.41
18798b8f-6391-4cb2-8a5f-6fb540d646d5	0.69	0.31
7b0f91aa-4d66-4362-993d-6ff60f7ce0ef	0.69	0.31
13a05157-6172-4431-947b-a058217b4aa5	0.29	0.71
c0732e36-3731-4f1a-abdc-daa9563b6506	0.31	0.69
9ac2e7c5-5a34-4738-98d8-9f917bc6d119	0.62	0.38
0c83e3b6-360e-4b7d-85e3-d906633c9ca0	0.51	0.49
b8ab86c6-9054-4832-9b96-508dbd4eb624	0.64	0.36
2b157c5c-9a6a-45a6-858f-bf4cf4cbc0bd	0.28	0.72
7310c32f-8f32-40f2-b086-54555a2c0e86	0.20	0.80
a5adc84c-80b8-49e4-9962-8b4ade99a922	0.33	0.67
4941976e-31fc-49b5-801a-18abe072178b	0.65	0.35
198fd9c8-cb75-482d-873e-e6b91d42a446	0.60	0.40
5dbf11c0-994a-4482-bd1e-99379148ee45	0.82	0.18
ac69dba3-6225-4afd-ab4b-23fc78f730fb	0.33	0.67
d23a1f7e-0071-444e-8361-6ae01f13036f	0.85	0.15
b39b5aae-8571-4c90-887a-6a00f2a2f6fd	0.40	0.60
88cd6efa-dbf2-4309-aabe-ec1d6f21f98a	0.26	0.74
